paper_experiment_id,paper_group,runner,state,benchmark,target_model,training_policy,training_method,planner,data_limit,run_index,selection_source,candidate_source,selected_history_index,selected_loop_id,test_result_source,validation_metrics,test_metrics,diagnostics
ft-agent/main/FinanceIQ_gen/run-1,ft-agent-main,ft-agent,succeeded,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 74.345}","{""accuracy"": 65.327}",
ft-agent/main/FinanceIQ_gen/run-2,ft-agent-main,ft-agent,succeeded,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,baseline,,,post_selection,"{""accuracy"": 74.345}","{""accuracy"": 65.127}",
ft-agent/main/FinanceIQ_gen/run-3,ft-agent-main,ft-agent,succeeded,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,baseline,,,post_selection,"{""accuracy"": 74.345}","{""accuracy"": 65.127}",
ft-agent/main/aime25/run-1,ft-agent-main,ft-agent,succeeded,aime25,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 0.0}","{""accuracy"": 6.67}",
ft-agent/main/aime25/run-2,ft-agent-main,ft-agent,succeeded,aime25,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 6.67}","{""accuracy"": 0.0}",
ft-agent/main/aime25/run-3,ft-agent-main,ft-agent,succeeded,aime25,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,baseline,,,post_selection,"{""accuracy"": 0.0}","{""accuracy"": 0.0}",
ft-agent/main/chemcotbench_mol_edit/run-1,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 57.776666666666664}","{""accuracy"": 58.89000000000001}",
ft-agent/main/chemcotbench_mol_edit/run-2,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_output,,,post_selection,"{""accuracy"": 62.223333333333336}","{""accuracy"": 50.0}",
ft-agent/main/chemcotbench_mol_edit/run-3,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_output,,,post_selection,"{""accuracy"": 32.223333333333336}","{""accuracy"": 46.666666666666664}",
ft-agent/main/chemcotbench_mol_opt/run-1,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,durable_output,,,post_selection,"{""success_rate"": 32.333333333333336, ""valid_smiles_rate"": 78.66666666666667}","{""success_rate"": 31.333333333333332, ""valid_smiles_rate"": 80.33333333333333}",
ft-agent/main/chemcotbench_mol_opt/run-2,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_output,,,post_selection,"{""success_rate"": 35.0, ""valid_smiles_rate"": 78.66666666666667}","{""success_rate"": 36.666666666666664, ""valid_smiles_rate"": 83.66666666666667}",
ft-agent/main/chemcotbench_mol_opt/run-3,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_checkpoint,,,post_selection,"{""success_rate"": 31.666666666666668, ""valid_smiles_rate"": 74.33333333333333}","{""success_rate"": 31.333333333333332, ""valid_smiles_rate"": 75.66666666666667}",
ft-agent/main/chemcotbench_mol_und/run-1,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 56.0, ""mae"": 0.52, ""tanimoto_similarity"": 0.09}","{""accuracy"": 63.665, ""mae"": 0.5800000000000001, ""tanimoto_similarity"": 0.13}",
ft-agent/main/chemcotbench_mol_und/run-2,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 56.665, ""mae"": 0.2, ""tanimoto_similarity"": 0.18}","{""accuracy"": 63.0, ""mae"": 0.31, ""tanimoto_similarity"": 0.17}",
ft-agent/main/chemcotbench_mol_und/run-3,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 63.0, ""mae"": 0.21000000000000002, ""tanimoto_similarity"": 0.27}","{""accuracy"": 68.0, ""mae"": 0.13, ""tanimoto_similarity"": 0.23}",
ft-agent/main/chemcotbench_reaction/run-1,ft-agent-main,ft-agent,succeeded,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 36.0, ""fingerprint_similarity"": 15.263333333333334}","{""accuracy"": 30.0, ""fingerprint_similarity"": 15.023333333333333}",
