paper_experiment_id,paper_group,runner,state,benchmark,target_model,training_policy,training_method,planner,data_limit,run_index,selection_source,candidate_source,selected_history_index,selected_loop_id,test_result_source,validation_metrics,test_metrics,diagnostics
base/7b/FinanceIQ_gen,base-7b,base,succeeded,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""accuracy"": 74.345}","{""accuracy"": 65.327}",
base/7b/aime25,base-7b,base,succeeded,aime25,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""accuracy"": 0.0}","{""accuracy"": 0.0}",
base/7b/chemcotbench_mol_edit,base-7b,base,succeeded,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""accuracy"": 30.0}","{""accuracy"": 21.11}",
base/7b/chemcotbench_mol_opt,base-7b,base,succeeded,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""success_rate"": 21.0, ""valid_smiles_rate"": 67.66666666666667}","{""success_rate"": 23.0, ""valid_smiles_rate"": 66.0}",
base/7b/chemcotbench_mol_und,base-7b,base,succeeded,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""accuracy"": 56.0, ""mae"": 0.52, ""tanimoto_similarity"": 0.09}","{""accuracy"": 62.665, ""mae"": 0.5800000000000001, ""tanimoto_similarity"": 0.13}",
base/7b/chemcotbench_reaction,base-7b,base,succeeded,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""accuracy"": 36.0, ""fingerprint_similarity"": 15.263333333333334}","{""accuracy"": 32.0, ""fingerprint_similarity"": 14.83}",
base/7b/panorama_noc4pc,base-7b,base,succeeded,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""macro_f1"": 12.15}","{""macro_f1"": 14.29}",
base/7b/panorama_par4pc,base-7b,base,succeeded,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""macro_f1"": 64.59}","{""macro_f1"": 60.77}",
base/7b/panorama_pi4pc,base-7b,base,succeeded,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""gold_hit_rate"": 51.0}","{""gold_hit_rate"": 43.0}",
base/7b/tablebench_data_analysis,base-7b,base,succeeded,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""accuracy"": 33.507999999999996}","{""accuracy"": 33.236000000000004}",
base/7b/tablebench_fact_checking,base-7b,base,succeeded,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""accuracy"": 81.25}","{""accuracy"": 77.08}",
base/7b/tablebench_numerical_reasoning,base-7b,base,succeeded,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""accuracy"": 41.0}","{""accuracy"": 34.0}",
base/7b/tablebench_visualization,base-7b,base,succeeded,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,,,,,1,base_model,,,,base_runner_split,"{""pass_at_1"": 8.0}","{""pass_at_1"": 8.0}",
ft-agent/main/FinanceIQ_gen/run-1,ft-agent-main,ft-agent,succeeded,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 74.345}","{""accuracy"": 65.327}",
ft-agent/main/FinanceIQ_gen/run-2,ft-agent-main,ft-agent,succeeded,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,baseline,,,post_selection,"{""accuracy"": 74.345}","{""accuracy"": 65.127}",
ft-agent/main/FinanceIQ_gen/run-3,ft-agent-main,ft-agent,succeeded,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,baseline,,,post_selection,"{""accuracy"": 74.345}","{""accuracy"": 65.127}",
ft-agent/main/aime25/run-1,ft-agent-main,ft-agent,succeeded,aime25,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 0.0}","{""accuracy"": 6.67}",
ft-agent/main/aime25/run-2,ft-agent-main,ft-agent,succeeded,aime25,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 6.67}","{""accuracy"": 0.0}",
