paper_group,benchmark,target_model,planner,data_limit,split,metric,label,unit,higher_is_better,n,expected_n,mean,std,experiment_ids
,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,0,61.345333333333336,0.8117169046738762,"['ft-agent/rslora-paired/main/FinanceIQ_gen/run-1', 'ft-agent/rslora-paired/main/FinanceIQ_gen/run-2', 'ft-agent/rslora-paired/main/FinanceIQ_gen/run-3']"
,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,0,62.084666666666664,0.9545157585568397,"['ft-agent/rslora-paired/main/FinanceIQ_gen/run-1', 'ft-agent/rslora-paired/main/FinanceIQ_gen/run-2', 'ft-agent/rslora-paired/main/FinanceIQ_gen/run-3']"
,aime25,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,0,2.223333333333333,3.850926295494804,"['ft-agent/rslora-paired/main/aime25/run-1', 'ft-agent/rslora-paired/main/aime25/run-2', 'ft-agent/rslora-paired/main/aime25/run-3']"
,aime25,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,0,2.223333333333333,3.850926295494804,"['ft-agent/rslora-paired/main/aime25/run-1', 'ft-agent/rslora-paired/main/aime25/run-2', 'ft-agent/rslora-paired/main/aime25/run-3']"
,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,0,59.99888888888888,5.091750772173155,"['ft-agent/rslora-paired/main/chemcotbench_mol_edit/run-1', 'ft-agent/rslora-paired/main/chemcotbench_mol_edit/run-2', 'ft-agent/rslora-paired/main/chemcotbench_mol_edit/run-3']"
,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,0,63.70444444444445,5.010318611884134,"['ft-agent/rslora-paired/main/chemcotbench_mol_edit/run-1', 'ft-agent/rslora-paired/main/chemcotbench_mol_edit/run-2', 'ft-agent/rslora-paired/main/chemcotbench_mol_edit/run-3']"
,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,success_rate,SR,percent,True,3,0,21.333333333333332,10.105004260816079,"['ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-1', 'ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-2', 'ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-3']"
,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,valid_smiles_rate,VS,percent,True,3,0,56.77777777777778,20.616426388611515,"['ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-1', 'ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-2', 'ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-3']"
,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,success_rate,SR,percent,True,3,0,22.777777777777775,9.957316312548686,"['ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-1', 'ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-2', 'ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-3']"
,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,valid_smiles_rate,VS,percent,True,3,0,56.22222222222222,22.00084173473908,"['ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-1', 'ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-2', 'ft-agent/rslora-paired/main/chemcotbench_mol_opt/run-3']"
