paper_group,benchmark,target_model,planner,data_limit,split,metric,label,unit,higher_is_better,n,expected_n,mean,std,experiment_ids
base-7b,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,65.327,,['base/7b/FinanceIQ_gen']
base-7b,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,74.345,,['base/7b/FinanceIQ_gen']
base-7b,aime25,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,0.0,,['base/7b/aime25']
base-7b,aime25,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,0.0,,['base/7b/aime25']
base-7b,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,21.11,,['base/7b/chemcotbench_mol_edit']
base-7b,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,30.0,,['base/7b/chemcotbench_mol_edit']
base-7b,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,,,test,success_rate,SR,percent,True,1,1,23.0,,['base/7b/chemcotbench_mol_opt']
base-7b,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,,,test,valid_smiles_rate,VS,percent,True,1,1,66.0,,['base/7b/chemcotbench_mol_opt']
base-7b,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,,,validation,success_rate,SR,percent,True,1,1,21.0,,['base/7b/chemcotbench_mol_opt']
base-7b,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,,,validation,valid_smiles_rate,VS,percent,True,1,1,67.66666666666667,,['base/7b/chemcotbench_mol_opt']
base-7b,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,62.665,,['base/7b/chemcotbench_mol_und']
base-7b,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,,,test,mae,MAE,absolute,False,1,1,0.5800000000000001,,['base/7b/chemcotbench_mol_und']
base-7b,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,,,test,tanimoto_similarity,TMS,ratio,True,1,1,0.13,,['base/7b/chemcotbench_mol_und']
base-7b,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,56.0,,['base/7b/chemcotbench_mol_und']
base-7b,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,,,validation,mae,MAE,absolute,False,1,1,0.52,,['base/7b/chemcotbench_mol_und']
base-7b,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,,,validation,tanimoto_similarity,TMS,ratio,True,1,1,0.09,,['base/7b/chemcotbench_mol_und']
base-7b,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,32.0,,['base/7b/chemcotbench_reaction']
